Event,Sport,event_id
"Tennis Men's Singles, Covered Courts",Tennis,494
Gymnastics Men's Rope Climbing,Gymnastics,495
"Shooting Men's Military Pistol, 30 metres",Shooting,496
Cycling Women's Keirin,Cycling,497
Figure Skating Men's Singles,Figure Skating,498
Figure Skating Mixed Pairs,Figure Skating,499
Swimming Women's 300 metres Freestyle,Swimming,500
Athletics Men's 5 mile,Athletics,501
"Canoeing Men's Canadian Singles, 200 metres",Canoeing,502
Sailing Mixed 30 metres,Sailing,503
Art Competitions Mixed Unknown Event,Art Competitions,504
Cycling Women's Omnium,Cycling,505
Sailing Mixed 12 foot,Sailing,506
"Art Competitions Mixed Music, Instrumental And Chamber",Art Competitions,507
"Art Competitions Mixed Music, Vocals",Art Competitions,508
"Art Competitions Mixed Literature, Dramatic Works",Art Competitions,509
Jeu De Paume Men's Singles,Jeu De Paume,510
Cycling Men's 1/3 mile,Cycling,511
Cycling Men's 1 mile,Cycling,512
Cycling Men's 2 mile,Cycling,513
"Art Competitions Mixed Sculpturing, Medals And Plaques",Art Competitions,514
"Athletics Men's 1,600 metres Medley Relay",Athletics,515
"Canoeing Men's Folding Kayak Doubles, 10 kilometres",Canoeing,516
Athletics Men's 60 metres,Athletics,517
"Shooting Men's Military Rifle, Prone, 600 metres",Shooting,518
"Canoeing Men's Canadian Doubles, 10,000 metres",Canoeing,519
"Shooting Men's Dueling Pistol, 30 metres, Team",Shooting,520
"Shooting Men's Small-Bore Rifle, Disappearing Target, 25 metres, Team",Shooting,521
"Art Competitions Mixed Sculpturing, Medals And Reliefs",Art Competitions,522
"Athletics Men's 3 mile, Team",Athletics,523
